user_id,country,age_band,employment_status,employment_type,industry,years_in_current_role,monthly_net_income_eur,income_stability_1_5,household_size,dependents,housing_status,monthly_housing_cost_eur,liquid_savings_eur,emergency_fund_months,monthly_savings_eur,consumer_debt_eur,debt_types,mortgage_remaining_eur,investable_assets_eur,investment_experience,risk_tolerance_1_5,financial_confidence_1_5,primary_financial_goal,goal_horizon_months,plans_home_purchase,home_purchase_horizon_months,interested_in_investing,interested_in_mortgage,interested_in_savings_products,interested_in_insurance,interested_in_pension,recent_life_event,biggest_financial_concern,what_would_you_like_help_with,open_to_financial_advisor_call,marketing_contact_consent,preferred_contact_channel,survey_completed_at
FZ-0019,Spain,35-44,Employed,Full-time permanent,Technology,5.7,2700,2,2,1,Renting,1150,3000,1,0,21000,Car loan; Credit card,0,0,None,1,2,Reduce debt,12,No,,No,No,Maybe,No,No,None,Monthly debt payments,I have several payments every month and want to reduce the pressure before I think about investing.,Yes,Yes,WhatsApp,2026-08-21T12:18:00+02:00
FZ-0020,Italy,25-34,Employed,Full-time permanent,Professional Services,3.9,4600,5,4,3,Renting,950,30000,6,300,0,None,0,14000,Beginner,3,4,Protect family finances,24,No,,Yes,No,Yes,Yes,Maybe,None,Balancing current costs with long-term savings,My finances were simple before having children; now I want a clearer household plan.,Maybe,Yes,WhatsApp,2026-09-03T11:50:00+02:00
FZ-0021,Italy,25-34,Employed,Full-time permanent,Professional Services,4.6,4000,4,3,1,Renting,950,32000,3,550,0,None,0,8000,Beginner,2,2,Buy a home,36,Yes,36,No,Yes,Yes,Maybe,No,Unexpected expense,Interest rates increasing,I want a clear plan for buying a home in the next couple of years and comparing mortgage options. I prefer not to be called about products.,Yes,Yes,Phone,2026-09-04T19:03:00+02:00
FZ-0022,Italy,25-34,Employed,Full-time permanent,Manufacturing,4.9,2100,4,4,2,Renting,1150,33000,4,750,0,None,0,1000,None,2,3,Start investing,60,No,,Yes,No,Yes,No,No,Planning relocation,Choosing the wrong investment products,I would like to build a long-term investment plan and stop leaving everything in cash.,Yes,Yes,Email,2026-08-11T19:01:00+02:00
FZ-0023,Spain,35-44,Employed,Fixed-term,Education,2.8,,2,3,2,Renting,1250,500,1,-150,10000,Credit card; Personal loan,0,500,Beginner,1,1,Reduce debt,36,No,,No,No,Maybe,No,No,Promotion,Interest costs,I want a realistic plan to pay down debt and rebuild an emergency buffer.,Yes,No,None,2026-09-27T11:18:00+02:00
FZ-0024,Italy,25-34,Employed,Full-time permanent,Technology,8.2,,5,2,1,Renting,550,19000,5,500,0,None,0,6000,None,3,2,Start investing,60,No,,Yes,No,Yes,No,No,Unexpected expense,Choosing the wrong investment products,I would like to build a long-term investment plan and stop leaving everything in cash.,Maybe,No,None,2026-09-23T11:58:00+02:00
FZ-0025,France,18-24,Employed,Part-time,Finance,1.9,2300,4,2,0,Living with family,200,4500,2,250,0,None,0,0,None,3,3,Build emergency fund,6,No,,Maybe,No,Yes,No,No,Had a child,Running out of money before payday,I want to create an emergency fund first and then learn how to start investing small amounts.,Maybe,Yes,Phone,2026-08-02T09:36:00+02:00
FZ-0026,Italy,35-44,Employed,Full-time permanent,Public Sector,5.4,5500,4,4,3,Renting,1150,53000,6,300,0,None,0,24000,Intermediate,3,3,Protect family finances,60,No,,Yes,No,Yes,Yes,Maybe,Had a child,Unexpected family expenses,We have a child now and I want to make sure our emergency fund and protection are adequate.,Yes,Yes,Phone,2026-07-10T09:05:00+02:00
FZ-0027,Italy,25-34,Employed,Full-time permanent,Healthcare,4.7,,5,5,4,Renting,900,56000,4,350,0,None,0,2000,None,3,3,Buy a home,12,Yes,12,Maybe,Yes,Yes,Maybe,No,Relationship change,House prices and mortgage affordability,I want to understand how much mortgage I could realistically afford without draining all my savings.,Yes,Yes,Email,2026-09-20T22:06:00+02:00
FZ-0028,Italy,45-54,Employed,Full-time permanent,Manufacturing,6.9,5300,4,1,0,Own with mortgage,1100,100000,6,400,0,None,45000,65000,Intermediate,3,3,Prepare for retirement,120,No,,Yes,No,Maybe,No,Yes,Unexpected expense,Understanding pension options,I would like to understand my retirement gap and what monthly contribution would close it.,Yes,Yes,WhatsApp,2026-07-18T13:08:00+02:00
FZ-0029,Italy,25-34,Employed,Full-time permanent,Professional Services,7.3,2600,4,4,2,Renting,900,11000,9,250,3500,Credit card,0,1000,None,4,2,Start investing,120,No,,Yes,No,Yes,No,No,Started freelancing,Choosing the wrong investment products,I have cash sitting in my account and want to start investing without taking risks I do not understand.,Yes,No,None,2026-09-13T13:14:00+02:00
FZ-0030,France,35-44,Employed,Full-time permanent,Public Sector,1.2,2800,3,2,0,Renting,550,,9,650,0,None,0,1000,Beginner,3,3,Start investing,60,No,,Yes,No,Yes,No,No,Moved city,Losing money when I start investing,"I am interested in ETFs and investing monthly, but I need help deciding how much I can invest safely.",Maybe,No,None,2026-09-16T16:29:00+02:00
FZ-0031,Italy,25-34,Employed,Full-time permanent,Technology,1.1,3900,4,2,1,Renting,750,19000,8,450,0,None,0,2000,None,3,4,Buy a home,36,Yes,36,No,Yes,Yes,Maybe,No,Unexpected expense,Interest rates increasing,I want to understand how much mortgage I could realistically afford without draining all my savings.,Maybe,Yes,WhatsApp,2026-09-25T13:17:00+02:00
FZ-0032,Italy,35-44,Employed,Fixed-term,Public Sector,2.3,4900,5,4,2,Renting,650,44000,6,650,0,None,0,25000,Beginner,2,3,Protect family finances,120,No,,Yes,No,Yes,Yes,Maybe,None,Protecting my family financially,We have a child now and I want to make sure our emergency fund and protection are adequate.,Yes,Yes,Phone,2026-07-28T18:28:00+02:00
FZ-0033,Italy,45-54,Employed,Full-time permanent,Professional Services,4.3,6500,5,2,1,Own with mortgage,650,130000,10,600,0,None,65000,7500,None,2,3,Make savings work harder,60,No,,Yes,No,Yes,No,Yes,Started freelancing,Making a bad investment decision,Most of my money is in cash. I want help organising it between emergency savings and investments.,Yes,Yes,Phone,2026-08-12T15:30:00+02:00
FZ-0034,France,18-24,Employed,Fixed-term,Hospitality,1.6,1600,2,2,0,Renting,500,5500,0,50,0,None,0,500,Beginner,4,1,Build emergency fund,6,No,,Yes,No,Yes,No,No,Had a child,Running out of money before payday,I want to create an emergency fund first and then learn how to start investing small amounts.,Maybe,Yes,Email,2026-09-05T20:48:00+02:00
FZ-0035,Spain,18-24,Student + part-time,Full-time permanent,Retail,2.1,1400,2,1,0,Living with family,200,1500,2,0,0,None,0,1500,None,2,2,Build emergency fund,18,No,24,Yes,No,Yes,No,No,New job,Running out of money before payday,I need help setting a budget now that I have my first proper salary.,Maybe,No,None,2026-08-09T12:41:00+02:00
FZ-0036,Italy,25-34,Employed,Full-time permanent,Hospitality,2.1,3200,5,2,1,Renting,1100,17000,4,950,0,None,0,1000,Beginner,2,2,Buy a home,18,Yes,18,No,Yes,Yes,No,No,Unexpected expense,House prices and mortgage affordability,I want to understand how much mortgage I could realistically afford without draining all my savings.,Maybe,Yes,Email,2026-07-12T20:03:00+02:00
FZ-0037,Spain,25-34,Employed,Fixed-term,Technology,2.9,,4,2,1,Renting,1000,44000,4,650,0,None,0,12000,None,2,3,Buy a home,18,Yes,18,Maybe,Yes,Yes,Maybe,No,Promotion,Interest rates increasing,I want to understand how much mortgage I could realistically afford without draining all my savings.,Yes,Yes,Phone,2026-07-10T21:36:00+02:00
FZ-0038,France,25-34,Employed,Full-time permanent,Hospitality,1.9,2700,4,3,0,Renting,800,31000,3,450,0,None,0,7000,None,3,2,Buy a home,12,Yes,12,No,Yes,Yes,Maybe,No,Promotion,Interest rates increasing,I want to understand how much mortgage I could realistically afford without draining all my savings.,Maybe,Yes,Phone,2026-08-13T15:35:00+02:00
FZ-0039,Spain,25-34,Employed,Full-time permanent,Finance,7.2,,3,3,0,Renting,1050,6000,1,100,15000,Credit card; Personal loan,0,0,Beginner,2,2,Reduce debt,24,No,,No,No,Maybe,No,No,Planning relocation,Interest costs,My priority is getting monthly payments under control and understanding which debt I should repay first.,,Yes,Email,2026-09-13T19:25:00+02:00
FZ-0040,Italy,25-34,Employed,Full-time permanent,Education,2.4,3800,5,1,0,Renting,1000,26000,3,950,0,None,0,5000,Beginner,2,3,Buy a home,18,Yes,18,No,Yes,Yes,No,No,Moved city,Interest rates increasing,I want to understand how much mortgage I could realistically afford without draining all my savings.,Yes,Yes,Phone,2026-08-21T16:57:00+02:00
FZ-0041,Italy,25-34,Employed,Fixed-term,Retail,0.7,1800,4,2,0,Renting,600,3500,2,-150,15000,Personal loan,0,0,Beginner,1,1,Reduce debt,36,No,,No,No,Maybe,No,No,Planning relocation,Unexpected expenses while repaying debt,I have several payments every month and want to reduce the pressure before I think about investing.,Yes,Yes,WhatsApp,2026-08-18T09:49:00+02:00
FZ-0042,Italy,35-44,Employed,Full-time permanent,Finance,4.1,7000,4,5,3,Own outright,0,70000,18,800,0,None,0,15000,Beginner,2,3,Make savings work harder,120,No,,Yes,No,Yes,No,Yes,Promotion,Inflation reducing the value of my cash,I want a simple strategy for my savings rather than moving money around without a plan.,Yes,Yes,Email,2026-08-16T21:58:00+02:00
FZ-0043,Italy,35-44,Employed,Fixed-term,Media,4.6,6750,5,3,1,Own with mortgage,1000,165000,24,700,0,None,35000,2500,None,2,2,Make savings work harder,60,No,,Yes,No,Yes,No,Yes,None,Making a bad investment decision,I want a simple strategy for my savings rather than moving money around without a plan.,Yes,No,None,2026-09-09T21:27:00+02:00
FZ-0044,France,25-34,Student + part-time,Part-time,Education,2.2,2300,3,3,1,Renting,350,9000,1,300,0,None,0,0,None,3,3,Build emergency fund,18,No,,Maybe,No,Yes,No,No,Planning relocation,Not knowing where to start,I need help setting a budget now that I have my first proper salary.,,No,None,2026-09-13T14:10:00+02:00
FZ-0045,Spain,35-44,Employed,Full-time permanent,Hospitality,2.9,2100,5,2,0,Renting,1200,49000,4,1100,4000,Car loan,0,9000,Beginner,2,3,Buy a home,18,Yes,18,Maybe,Yes,Yes,Maybe,No,None,Interest rates increasing,"I am renting now and would like to buy my first home, but I do not know how much deposit I should keep aside.",Maybe,Yes,Email,2026-09-09T10:45:00+02:00
FZ-0046,France,35-44,Employed,Full-time permanent,Hospitality,6.4,4300,5,2,1,Renting,750,25000,10,850,0,None,0,6000,Beginner,2,3,Build wealth,60,No,,Yes,No,Yes,No,No,Had a child,Missing better uses for my savings,I want to turn regular savings into a more deliberate financial plan. I prefer not to be called about products.,No,Yes,WhatsApp,2026-09-28T16:10:00+02:00
FZ-0047,Italy,25-34,Employed,Full-time permanent,Technology,6.5,4100,5,4,1,Renting,950,28000,2,300,0,None,0,23000,Beginner,3,3,Protect family finances,24,No,,Yes,No,Yes,Yes,Maybe,Got married,Protecting my family financially,"I want to plan for family expenses, insurance and long-term savings without overcommitting each month.",Maybe,Yes,Phone,2026-09-01T19:09:00+02:00
FZ-0048,Italy,55-64,Employed,Full-time permanent,Professional Services,17.2,2900,5,1,0,Own with mortgage,950,80000,12,1100,7000,Credit card,40000,45000,Intermediate,2,4,Prepare for retirement,180,No,,Yes,No,Yes,No,Yes,None,Not having enough for retirement,I would like to understand my retirement gap and what monthly contribution would close it.,Yes,Yes,WhatsApp,2026-09-04T08:42:00+02:00
FZ-0049,Italy,55-64,Employed,Full-time permanent,Media,10.6,5700,5,3,2,Own outright,0,90000,12,400,0,None,0,210000,Intermediate,3,3,Prepare for retirement,180,No,,Yes,No,Maybe,No,Yes,Promotion,Market risk close to retirement,I would like to understand my retirement gap and what monthly contribution would close it.,Yes,No,None,2026-09-07T21:47:00+02:00
FZ-0050,Italy,35-44,Employed,Full-time permanent,Media,4.6,4100,5,1,0,Renting,700,29000,6,700,5000,Credit card,0,9000,Beginner,3,3,Buy a home,18,Yes,18,Maybe,Yes,Yes,Maybe,No,Moved city,Interest rates increasing,I want a clear plan for buying a home in the next couple of years and comparing mortgage options. I prefer not to be called about products.,Yes,Yes,WhatsApp,2026-07-09T16:39:00+02:00
FZ-0051,Italy,35-44,Employed,Full-time permanent,Media,3.0,7000,4,3,1,Own outright,250,90000,8,2100,1000,Credit card,0,165000,Experienced,5,4,Optimise investments,120,No,,Yes,No,No,No,Maybe,None,Portfolio concentration,I am comfortable investing but want to optimise how my cash and investments are allocated.,No,No,None,2026-09-25T14:36:00+02:00
FZ-0052,France,25-34,Employed,Full-time permanent,Finance,2.6,3700,3,2,1,Renting,1200,16000,5,650,0,None,0,2500,Beginner,3,3,Start investing,60,No,,Yes,No,Yes,No,No,Had a child,Losing money when I start investing,I have cash sitting in my account and want to start investing without taking risks I do not understand. I prefer not to be called about products.,Maybe,Yes,Email,2026-08-25T16:24:00+02:00
FZ-0053,Italy,25-34,Student + part-time,Fixed-term,Technology,2.0,900,4,2,0,Renting,600,5000,2,200,0,None,0,0,None,3,1,Build emergency fund,18,No,,Yes,No,Yes,No,No,Promotion,Running out of money before payday,I need help setting a budget now that I have my first proper salary.,,Yes,WhatsApp,2026-09-15T15:23:00+02:00
FZ-0054,Spain,25-34,Employed,Fixed-term,Education,5.3,2200,5,3,2,Renting,600,31000,8,750,0,None,0,2000,None,3,4,Buy a home,18,Yes,18,Maybe,Yes,Yes,Maybe,No,Got married,House prices and mortgage affordability,I want a clear plan for buying a home in the next couple of years and comparing mortgage options.,Maybe,Yes,WhatsApp,2026-08-23T17:26:00+02:00
FZ-0055,Spain,35-44,Employed,Full-time permanent,Public Sector,7.6,9000,5,2,0,Own with mortgage,850,65000,12,800,9000,Credit card,130000,170000,Experienced,3,4,Optimise investments,120,No,,Yes,No,Maybe,No,Maybe,Started freelancing,Fees and tax efficiency,I want a more structured view of my portfolio and future contributions.,Maybe,Yes,Phone,2026-07-08T08:11:00+02:00
FZ-0056,Spain,35-44,Employed,Full-time permanent,Public Sector,4.2,,5,5,3,Renting,700,52000,6,750,0,None,0,17000,Beginner,2,4,Protect family finances,120,No,,Yes,No,Yes,Yes,Yes,Got married,Protecting my family financially,My finances were simple before having children; now I want a clearer household plan.,,Yes,Phone,2026-08-05T12:07:00+02:00
FZ-0057,Italy,25-34,Employed,Full-time permanent,Healthcare,1.3,2300,5,2,1,Renting,950,55000,4,750,0,None,0,4000,Beginner,2,3,Buy a home,24,Yes,24,Maybe,Yes,Yes,Maybe,No,Planning relocation,House prices and mortgage affordability,I want a clear plan for buying a home in the next couple of years and comparing mortgage options.,Maybe,Yes,Phone,2026-08-19T10:24:00+02:00
FZ-0058,Italy,35-44,Employed,Fixed-term,Manufacturing,5.0,6000,5,3,1,Own outright,250,90000,6,1500,0,None,0,325000,Experienced,5,5,Optimise investments,60,No,,Yes,No,Maybe,No,Yes,Promotion,Portfolio concentration,I want a more structured view of my portfolio and future contributions.,Maybe,Yes,Email,2026-08-21T08:36:00+02:00
FZ-0059,Italy,18-24,Employed,Full-time permanent,Retail,5.0,2000,4,4,2,Renting,1100,20000,4,850,0,None,0,1000,Beginner,2,3,Start investing,36,No,,Yes,No,Yes,No,No,Moved city,Choosing the wrong investment products,I would like to build a long-term investment plan and stop leaving everything in cash.,Yes,Yes,Email,2026-07-20T11:46:00+02:00
FZ-0060,Spain,35-44,Employed,Full-time permanent,Education,3.9,4500,4,3,2,Own outright,150,45000,12,900,7500,Car loan,0,285000,Experienced,3,5,Optimise investments,180,No,,Yes,No,Maybe,No,Maybe,Planning relocation,Fees and tax efficiency,I want a more structured view of my portfolio and future contributions.,Maybe,Yes,WhatsApp,2026-08-03T18:57:00+02:00
FZ-0061,France,35-44,Self-employed,Self-employed,Hospitality,8.6,3300,3,2,0,Renting,1200,31000,8,550,0,None,0,6000,Beginner,4,2,Stabilise finances,24,No,,Yes,No,Yes,No,Yes,Got married,Not having enough buffer in weak months,"Since I freelance, I need a better system for taxes, savings and long-term planning.",Maybe,Yes,WhatsApp,2026-09-01T09:13:00+02:00
FZ-0062,Spain,35-44,Employed,Fixed-term,Finance,1.8,3900,5,3,3,Renting,850,44000,3,800,0,None,0,6000,Beginner,3,4,Protect family finances,120,No,,Yes,No,Yes,Yes,Maybe,Had a child,Balancing current costs with long-term savings,"I want to plan for family expenses, insurance and long-term savings without overcommitting each month.",Maybe,Yes,WhatsApp,2026-07-13T09:06:00+02:00
FZ-0063,Spain,35-44,Employed,Fixed-term,Professional Services,5.7,2400,3,1,0,Renting,1200,17000,3,550,0,None,0,3500,Beginner,3,3,Start investing,60,No,,Yes,No,Yes,No,No,Got married,Keeping too much cash,I would like to build a long-term investment plan and stop leaving everything in cash.,Maybe,No,None,2026-07-25T19:52:00+02:00
FZ-0064,Italy,35-44,Self-employed,Self-employed,Professional Services,4.7,4200,3,1,0,Renting,550,41000,8,850,0,None,0,15000,Beginner,2,4,Stabilise finances,12,No,,Maybe,No,Yes,No,Yes,Promotion,Not having enough buffer in weak months,"Since I freelance, I need a better system for taxes, savings and long-term planning. I prefer not to be called about products.",Maybe,Yes,Phone,2026-07-24T19:07:00+02:00
FZ-0065,Spain,25-34,Employed,Full-time permanent,Hospitality,6.2,5200,4,4,3,Renting,1250,38000,2,800,0,None,0,17000,Beginner,3,2,Protect family finances,60,No,,Maybe,No,Yes,Yes,Maybe,Had a child,Unexpected family expenses,My finances were simple before having children; now I want a clearer household plan.,Maybe,Yes,Email,2026-09-26T14:39:00+02:00
FZ-0066,Italy,25-34,Employed,Full-time permanent,Retail,2.0,3600,5,3,2,Renting,1000,51000,3,550,0,None,0,1000,None,3,2,Buy a home,24,Yes,24,No,Yes,Yes,Maybe,No,Moved city,House prices and mortgage affordability,"I am renting now and would like to buy my first home, but I do not know how much deposit I should keep aside.",Maybe,Yes,Phone,2026-07-27T17:34:00+02:00
FZ-0067,Italy,45-54,Employed,Full-time permanent,Healthcare,5.5,2100,4,4,3,Renting,800,7000,1,50,27000,Credit card; Personal loan,0,0,None,1,1,Reduce debt,12,No,,No,No,Maybe,No,No,Promotion,Monthly debt payments,My priority is getting monthly payments under control and understanding which debt I should repay first.,Yes,Yes,WhatsApp,2026-09-27T17:48:00+02:00
FZ-0068,Italy,55-64,Employed,Full-time permanent,Finance,17.9,5500,5,2,1,Own with mortgage,1050,25000,6,600,0,None,30000,110000,Intermediate,3,3,Prepare for retirement,60,No,,Yes,No,Maybe,No,Yes,Relationship change,Market risk close to retirement,I would like to understand my retirement gap and what monthly contribution would close it.,Yes,Yes,Phone,2026-07-22T10:03:00+02:00
FZ-0069,Spain,35-44,Employed,Fixed-term,Hospitality,1.8,3500,5,4,2,Own outright,0,140000,18,1300,0,None,0,20000,Beginner,2,3,Make savings work harder,120,No,,Yes,No,Yes,No,Yes,Unexpected expense,Not having a clear plan,I want a simple strategy for my savings rather than moving money around without a plan.,Yes,Yes,Email,2026-09-20T16:09:00+02:00
FZ-0070,Italy,45-54,Employed,Full-time permanent,Manufacturing,4.7,3250,5,4,2,Own outright,150,110000,10,800,0,None,0,30000,None,2,3,Make savings work harder,120,No,,Yes,No,Yes,No,Maybe,Got married,Making a bad investment decision,I have saved quite a lot but I am not confident about what to do with it and I keep postponing decisions.,Yes,Yes,Email,2026-08-23T08:51:00+02:00
FZ-0071,Spain,18-24,Employed,Fixed-term,Retail,0.4,1800,4,2,0,Living with family,300,5000,1,150,4500,Credit card,0,0,Beginner,4,3,Build emergency fund,12,No,,Yes,No,Yes,No,No,Relationship change,Running out of money before payday,I need help setting a budget now that I have my first proper salary.,Maybe,Yes,Phone,2026-09-15T17:43:00+02:00
FZ-0072,France,35-44,Employed,Full-time permanent,Public Sector,4.6,3200,2,1,0,Renting,550,6000,1,-250,18000,Credit card,0,0,None,1,1,Reduce debt,36,No,,No,No,Maybe,No,No,New job,Unexpected expenses while repaying debt,My priority is getting monthly payments under control and understanding which debt I should repay first.,Yes,No,None,2026-08-22T17:23:00+02:00
FZ-0073,Spain,25-34,Employed,Full-time permanent,Media,4.5,4000,5,4,1,Renting,650,59000,6,850,0,None,0,3000,None,2,3,Buy a home,36,Yes,36,No,Yes,Yes,Maybe,No,Got married,Interest rates increasing,"I am renting now and would like to buy my first home, but I do not know how much deposit I should keep aside.",Yes,Yes,Email,2026-08-19T20:29:00+02:00
FZ-0074,Italy,55-64,Employed,Full-time permanent,Public Sector,10.6,4100,5,4,1,Own outright,150,80000,8,1300,0,None,0,55000,Intermediate,3,3,Prepare for retirement,60,No,,Yes,No,Yes,No,Yes,Got married,Not having enough for retirement,Retirement is getting closer and I want a clearer pension and investment strategy.,Yes,Yes,WhatsApp,2026-08-03T17:13:00+02:00
FZ-0075,Spain,25-34,Self-employed,Self-employed,Healthcare,4.6,3800,2,2,0,Renting,800,13000,6,650,0,None,0,17000,Beginner,4,2,Stabilise finances,24,No,,Yes,No,Yes,No,Yes,Unexpected expense,Irregular income,"My income changes month to month, so I want to understand how large my cash buffer should be and how to invest the rest.",Maybe,Yes,Email,2026-08-04T21:41:00+02:00
